id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
744,Kepler-105,b,Transit,2,5.4122,0.066,0.47,85.94,,,0.429,,0,1,0,,19h11m32.96s,287.887325,+46d16m34.5s,46.276237,,12.791,Kepler-band,5873,1.28,1.16,14/05/14
745,Kepler-105,c,Transit,2,7.125939,0.072,,,,,0.144,,0,1,0,,19h11m32.96s,287.887325,+46d16m34.5s,46.276237,,12.791,Kepler-band,5873,1.28,1.16,14/05/14
746,Kepler-106,b,Transit,4,6.16486,,,,0.0005,Mass,0.073,1.26,0,1,0,,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,12.882,Kepler-band,5858,1,1.04,14/05/14
747,Kepler-106,c,Transit,4,13.5708,,,,0.033,Mass,0.223,3.28,0,1,0,,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,12.882,Kepler-band,5858,1,1.04,14/05/14
748,Kepler-106,d,Transit,4,23.9802,,,,0.025,Mass,0.085,,0,1,0,,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,12.882,Kepler-band,5858,1,1.04,14/05/14
749,Kepler-106,e,Transit,4,43.8445,,,,0.035,Mass,0.228,3.1,0,1,0,,20h03m27.35s,300.863971,+44d20m15.2s,44.337555,,12.882,Kepler-band,5858,1,1.04,14/05/14
750,Kepler-107,b,Transit,4,3.179997,0.044,,,,,0.139,,0,1,0,,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,12.487,Kepler-band,5851,,1.41,14/05/14
751,Kepler-107,c,Transit,4,4.901425,0.059,,,,,0.161,,0,1,0,,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,12.487,Kepler-band,5851,,1.41,14/05/14
752,Kepler-107,d,Transit,4,7.958203,0.082,,,,,0.095,,0,1,0,,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,12.487,Kepler-band,5851,,1.41,14/05/14
753,Kepler-107,e,Transit,4,14.749049,0.123,,,,,0.308,,0,1,0,,19h48m06.78s,297.028248,+48d12m31.0s,48.208611,,12.487,Kepler-band,5851,,1.41,14/05/14
754,Kepler-108,b,Transit,2,49.183921,0.292,,,,,0.772,,0,1,0,,19h38m14.20s,294.559169,+46d03m44.4s,46.062325,,12.654,Kepler-band,5854,0.87,2.19,14/05/14
755,Kepler-108,c,Transit,2,190.323494,0.721,,,,,0.73,,0,1,0,,19h38m14.20s,294.559169,+46d03m44.4s,46.062325,,12.654,Kepler-band,5854,0.87,2.19,14/05/14
756,Kepler-109,b,Transit,2,6.48163,,,,0.004,Mass,0.211,0.3,0,1,0,,19h21m34.25s,290.392721,+40d17m05.5s,40.284875,,12.365,Kepler-band,5952,1.04,1.32,14/05/14
757,Kepler-109,c,Transit,2,21.2227,,,,0.007,Mass,0.225,0.65,0,1,0,,19h21m34.25s,290.392721,+40d17m05.5s,40.284875,,12.365,Kepler-band,5952,1.04,1.32,14/05/14
758,Kepler-11,b,Transit,6,10.3039,0.091,0.045,89.64,0.006,Mass,0.161,1.72,1,1,0,,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,14.2,V (Johnson),5663,0.96,1.06,14/05/14
759,Kepler-11,c,Transit,6,13.0241,0.107,0.026,89.59,0.009,Mass,0.256,0.66,1,1,0,,19h48m27.63s,297.115123,+41d54m32.9s,41.909138,613,14.2,V (Johnson),5663,0.96,1.06,14/05/14
